DateCreated,Title,Citations,AverageCitations,Decision,APPLICATION...COMMENTS.FROM.PANEL,Simulation.Package.Name,X3.1..Published.in.peer.reviewed.journals..The.publication.does.not.have.to.focus.on.the.simulator..but.should.describe.the.simulation.method.and.applications.clearly.,Comments..7,X3.2..List.typical.applications.in.the..Applications..tab.of.the.GSR.entry.of.the.simulator..The.author.needs.to.identify.typical.application.s..of.the.simulator.and.list.publications.that.use.the.simulator.on.GSR..The.publications.listed.should.use.the.simulator.to.simulate.data..Publications.that.only.mention.the.software.packages..e.g..in.a.discussion.section.or.review.article..should.not.be.included.because.these.publications.do.not.reflect.use.of.the.package..or.an.application.,Comments..8,X3.3..Used.and.cited.by.at.least.5.external.users.in.the.past.5.years..or.twice.in.the.past.year..as.demonstrated.by.citations.listed.in.the.Applications.tab..External.users.refer.to.people.or.researchers.who.are.not.one.of.the.package.authors.or.directly.affiliated.with.the.authors.,Comments..9,X3.4..OVERALL.CERTIFICATION.FOR.APPLICATION..1,Initial.Reviewer.Overall.Comments.,Review.Committee.Overall.Comments.,FINAL.DECISION
7/30/2003,GASP,25,1.24777793,X,"GASP has been used mostly by its authors and we could not find any recent citation for it.
LM - agree.  this is an older program and may not be useful for current applications.",GASP,Yes,"GASP was published in peer-reviewed journal, Molecular Simulation.
The publication described the simulation method and applications clearly.
",Yes,"The author listed about 10 citations (up to 2006) to GASP in their manual. The GSR moderator has entered it.
",No,"Cannot find any information about GASP being used and cited by at least 5 external users in the past 5 years.

MR: the main publication is not on Molecular Simulation but on AJHG and is listed under ""Public Domain Notice and Reference"": Wilson, A.F., Bailey-Wilson, J.E., Pugh, E.W., Sorant, A.J.M. 1996. The Genometric Analysis Simulation Program (G.A.S.P.): a software tool for testing and investigating methods in statistical genetics. Am J Hum Genet. 59:A193.
",NO,GASP is an old package that has not been used recently. It could be certified for documentation with its extensive documentation.,"LM - I think we should give this package documentation.  We would say no to accessibility due to lack of available source code, no to support due to lack of evidence of support, and no to application because there were no current publications listed.  I can't find the original publication for this software tool.

MR: Yes to Documentation.  No to accessibility due to lack of source code and (perhaps consequent) difficulty of installation.  No to support due to lack of evidence. No to Application due to last published use being dated 2006.
PS: the original publication is listed under ""Public Domain Notice and Reference"". Also the ""Citations"" GSR entry looks incomplete.",
1/7/2011,GCTA,3103,246.484222,Review,GCTA has a long list of citations but it is unclear which publication uses the (small) simulation feature of it. The authors would need to add relevant citations to the applications tab.,GCTA,Yes,"GCTA was published in peer-reviewed journal, Am J Hum Genet.
The publication described the simulation method and applications clearly.
",No,"No example publication using GCTA has been provided in the “Applications” tab of the GSR entry of the simulator.
",Yes,"GCTA is used and cited by at least 5 external users in the past 5 years.
",NO,"GCTA is a well-maintained package and has the potential to be fully certified if the authors respond to our request to add sample applications. Also, the authors are very supportive.","I agree with the initial review that the only missing part would be citations to the applications tab for GCTA to be fully certified.

MR: Yes to Accessibility. Yes to Documentation. No to Application (need to add to the GSR tab, they show 11 on their website). Unclear re Support: they have a FAQ specific to GCTA and a forum for all their software, the GCTA page direct users to email contact regarding issues rather than using forum. Additional notes: the GSR entry is outdated compared to how up to date their webpage is. 

LM - Yes to Accessibility, Documentation & Support.  For Support the website seems to have questions but also there is a separate forum.",
9/27/2011,GemSIM,79,6.656278855,Review,There is a decent number of citations for this article but it is unclear which ones actually used GemSIM as most of them are from similar tools. There is no applications listed under GSR.,GemSIM,Yes,"GemSIM was published in peer-reviewed journal, BMC Genomics.
The publication described the simulation method and applications clearly.
",No,"No example publication using GemSIM has been provided in the “Applications” tab of the GSR entry of the simulator.
",Yes,GemSIM is used and cited by at least 5 external users in the past 5 years.,NO,"GemSIM has not been touched since 2012 and I suspect that it has been abandoned by the author. It is however still accessible and decently documented.

MR: the last update is dated 2014.","GemSIM is one of the earlier read simulator. It has been cited by pretty much all later read simulators but not sure if it was actually used. This package is not being maintained.

MR: yes to Accessibility and Documentation. No to Application and Support. 

LM:  After download, the information has enough about accessibility and documentation.  No to application and support.",
3/6/2016,GeneEvolve,6,0.808118081,X,GeneEvolve does not have enough citations.,Geneevolve,Yes,GeneEvolve is published in a peer-reviewed journal.,No,No citations are listed under the applications tab of XXX’s GSR entry.,No,GeneEvolve is cited 4 times since 2017.,NO,"Accessibility: yes
Documentation: yes
Application: no
Support: yes",,
4/6/2021,GENLIB,5,2.13950762,New,GENLIB is new and has not been cited frequent enough,GENLIB,Yes,GENLIB has been published in peer-review journals,Yes,GENLIB lists applications under GSR,No,GENLIB has only been really used once in the past two years,NO,"GENLIB is a well-maintained R package added to GSR by its author.

Accessibility: yes
Documentation: yes
application: no (four citations in the past year, with 1 application)
Support: no (1 ticket not responded for a few weeks)

The ticket is one month old, so we probably still can certify for support.","HSC- No support. Yes to Accessibility, Documentation

MR: these seem to be all borderline, but ok with yes to all except application.",
6/15/2007,GENOME,65,4.023232152,Review,"GENOME is widely used but more recent citations are needed in the applications tab of its GSR entry.

MR - No to application for now. The author should be able to easily update the GSR application tab to include updated citations and obtain this certification. 

LM - agree, with updates to the webpage.",GENOME,Yes,"GENOME was published in peer-reviewed journal, Bioinformatics.
The publication described the simulation method and applications clearly.
",No,The applications tab of the GSR entry of GENOME lists 2 typical applications in 2013 but more recent citations are required.,Yes,"GENOME is used and cited by at least 5 external users in the past 5 years.
",NO,GENOME is well documented and has been widely used. It could be fully certified if the authors can update its  GSR entry with recent citations and update its website with support information.,"MR - Yes to accessibility and documentation. No to application and support. This package could easily be awarded application by adding some of their citations to the application tab and support by making publicly available support history through mailing list archives and/or forum posts.

Agree with MR.",
4/30/2008,GenomePop2,30,1.963421194,Review,"The GSR entry for GenomePop2 needs to be updated with citation information.

MR - No to Application. It should be possible for GenomePop2 to receive application certificate by updating the GSR application tab.
LM - agree.

",GenomePop2,Yes,"GenomePop2 was published in peer-reviewed journal, BMC Bioinformatics.
The publication described the simulation method and applications clearly.
",No,"No example publication using GenomePop2 has been provided in the “Applications” tab of the GSR entry of the simulator.
",Yes,"GenomePop2 is used and cited by at least 5 external users in the past 5 years.
",NO,"GenomePop2, as stated in its website, is not actively maintained. It is still available under windows, has decent documentation and could be certified for documentation, and applications if the authors can update the application list in its GSR entry.","MR - Yes to documentation. No to accessibility, application and support. Missing piece for accessibility: source code.
Missing piece for application: adding some of their citations to the application tab.
Missing piece for support: making publicly available support history through mailing list archives and/or forum posts.
Note: I was confused by the sentence on top of the documentation ""GENOMEPOP2 HAS BEEN AVAILABLE SINCE 2008 AND NOW IS NOT LONGER MAINTAINED"" since they recently released version 2.7.7.1 on September, 2017.

No to accessibility, application and support.",
1/1/2008,GenomeSimla,29,1.857995436,Review,There is no application information for genomeSIMLA,GenomeSimla,Yes,"GenomeSimla was published in peer-reviewed journal, EvoBIO: European Conference on Evolutionary Computation, Machine Learning and Data Mining in Bioinformatics.
The publication described the simulation method and applications clearly.
",Yes,"There is an example publication using GenomeSimla has been provided in the “Applications” tab of the GSR entry of the simulator.
",No,"Cannot find any information about GenomeSimla being used and cited by at least 5 external users in the past 5 years.
",NO,"Although it is lack of the evidences of response to user inquiries and support for users can be found, GenomeSimla is a well-maintained package and has the potential to be fully certified if the authors respond to our request to add more citations and the information of license.
","Bo: There is no license, no downloadable source code, no application list, and no evidence of support, but all could change if Dr. Ritchie is willing to change how she manages her applications.

MR: No to Accessibility because of the requirement to enter your email (although, do we really want to be so strict about that?). Yes to Documentation (although the GSR entry is outdated). No to Application (example publication using GenomeSimla are provided in the “Applications” tab but the last are from 2013 and I could not reproduce those or other citations). No to Support (no evidence).

HSC:  Yes to Documentation.   Application list needs update.",
2/2/2014,Genomic Variant Simulator,2853,299.8401958,Review,"""A general framework for estimating the relative pathogenicity of human genetic variants"" by Kircher & Witten et al.",Genomic Variant Simulator (related to CADD),Yes,"""A general framework for estimating the relative pathogenicity of human genetic variants""
by Kircher & Witten et al.",No,There is no listed citations for GV Simulator,No,"CADD Simulator is not cited separately but the authors might know better - should check Genomic Variant Simulator ""A general framework for estimating the relative pathogenicity of human genetic variants"" by Kircher & Witten et al.",NO,"Supplementary scripts, not a dedicated simulator","Accessibility: yes, it is accessible and usable.
Documentation: inadequate
Application: not published or cited
Support: no evidence of support

HSC-

Accessibility: yes
Documentation: Seems to have lots of details. Look OK to me
Application: No
Support: There is contact info.  

MR: Yes to Accessibility and Documentation. No to Application (but should check the GVS paper). No to Support.",
7/29/2009,GENS2,8,0.570089809,X,"GENS2 has not been actively used and cited, at least not evident from GSR applications tab.",GENS2,Yes,"GENS2 was published in peer-reviewed journal, BMC Bioinformatics.
The publication described the simulation method and applications clearly.
",No,"No example publication using GENS2 has been provided in the “Applications” tab of the GSR entry of the simulator.
",No,"GENS2 is not used and cited by at least 5 external users in the past 5 years.
",NO,"GENS2 is accessible but not well documented and maintained but it could be certified for documentation if the authors make the documentation available.
","GENS2 was published in 2012 and was updated in 2017, but its website is a mess, with no documentation and there is no evidence of support. 

MR: Yes to Accessibility. Yes to Documentation (it is a short README file but all components seem to be there; GSR entry is 2.2 instead of latest 2.3.1). No to Application (need to be documented). No to Support (no evidence).

HSC: Accessibility: YES;   Documentation: Yes;   Application: No; Support: No",
10/11/2019,Geonomics,3,0.784383954,X,,,,,,,,,,,,
2/5/2015,GPOPSIM,7,0.822866345,X,,,,,,,,,,,,
9/20/2016,GppFst,4,0.581210191,X,"PMC shows only 1 citation for GppFst after its publication in 2017. The authors could know about its applications though.

LM - agree.  I was able to find 3 in google scholar.",GppFst,Yes,"GppFst was published in peer-reviewed journal, Bioinformatics.
The publication described the simulation method and applications clearly.
",No,"No example publication using GppFst has been provided in the “Applications” tab of the GSR entry of the simulator.
",No,"Cannot find any information about GppFst being used and cited by at least 5 external users in the past 5 years.
",NO,"Although GppFst is a new package and it is lack of the evidences of response to user inquiries and support for users can be found, GppFst is a well-maintained package and has the potential to be fully certified if the authors respond to our request to add sample applications, citations and the description at GSR.
","Bo: accessibility is ok, documentation needs discussion because the documentation is good, but GSR entry is clearly outdated. Application is lacking, and support can be certified by our recent change of rules.

HSC:  Accessibility: yes
          Documentation: yes
          Application: no
          Support: yes

LM:  I am confused about Bo's comment about change of rules.  I would say yes to accessiblity and documentation and no to application and support.  Since they have an issue tracker, we give OK to support.
",
1/24/2008,GS,26,1.672541417,Review,GS was insufficiently cited,GS,Yes,GS has been published in 2008,No,GS has no listed application,No,GS was cited by 26 articles but not enough applications,NO,"Accessibility: no, no resource code (only binary, code available upon request, no license) 
Documentation: No
Application: No. (Only 34977040, 2021, added)
Support: No, no issue tracker
",MR: -,
1/1/2008,GWAsimulator,42,2.690889942,Review,"The authors would need to add citations to GSR entry of GWAsimulator.
LM - agree",GWAsimulator,Yes,"GWAsimulator was published in peer-reviewed journal, Bioinformatics.
The publication described the simulation method and applications clearly.
",No,"No example publication using GWAsimulator has been provided in the “Applications” tab of the GSR entry of the simulator.
",Yes,GWAsimulator is used and cited by at least 5 external users in the past 5 years.,NO,"Although it is lack of the evidences of response to user inquiries and support for users can be found, GWAsimulator is a well-maintained package and has the potential to be fully certified if the authors respond to our request to add sample applications and information of license.
","Bo: Currently GWAsimulator is only qualified for documentation, but license and applications list can be easily fixed if the authors are willing to make the changes. 

LM - I agree, Yes to Doc, Yes to Ac, No to Applications and Support.  Need to discuss license.

MR: No Accessibility (license available but not compliant); Yes Documentation; Yes? Application (if we add the 5 examples ourselves?); No Support (no evidence or way to check)",
11/8/2010,HAPGEN,139,10.8990333,Review,HAPGEN has been cited but its GSR entry needs to be updated.,HAPGEN,Yes,"HAPGEN was published in peer-reviewed journal, Bioinformatics.
The publication described the simulation method and applications clearly.
",No,"No example publication using HAPGEN has been provided in the “Applications” tab of the GSR entry of the simulator.
",Yes,HAPGEN is used and cited by at least 5 external users in the past 5 years.,NO,"Although it is lack of the evidences of response to user inquiries, and the source code cannot be found, HAPGEN is a well-maintained package and has the potential to be fully certified if the authors respond to our request to add sample applications and provide the source code.
","HAPGEN is well documented and widely used, but it is not open source (at least source code is not available), and there is no evidence of support. So Accessibility no, documentation yes, application, after author (or moderator) adds applications, support, no.

HSC-  
Accessibility: An associated R package is open source
Documentation: Yes
Application: Only needs updating the GSR tab
Support: No

LM - 
Accessibility - need to discuss issue with source code.  
Documentation - Yes
Application - just needs GSR tab update
Support - I would actually say Yes, to discuss.",
1/1/2010,HaploSIm,4,0.293999195,X,HaploSim is not well cited,HaploSim,Yes,HaploSim was published,No,There was no listed applications for HaploSim,Yes,HaploSim is not well cited,NO,"Accessibility: yes, on CRAN
Documentation: yes
Application: No. 
Support: No
","MR: Accessibility, Documentation",
1/1/2007,HAP-SAMPLE,30,1.806334543,Review,,,,,,,,,,,,
12/1/2005,HapSim,31,1.75209043,Review,HapSim is still widely used but the GSR entry does not reflect this.,HapSim,Yes,"HapSim was published in peer-reviewed journal, Bioinformatics.
The publication described the simulation method and applications clearly.
",No,"No example publication using HapSim has been provided in the “Applications” tab of the GSR entry of the simulator.
",Yes,HapSim is used and cited by at least 5 external users in the past 5 years.,NO,"Although it is lack of the evidences of response to user inquiries and support for users can be found, HapSim is a well-maintained package and has the potential to be fully certified if the authors respond to our request to add sample applications.
","HapSim is a standard R package for simulation and is still used by the community, as evident by the new ""reverse citation"" of sim1000G. The latest version was released in 2017 so the authors should still be actively maintaining this package. It could be certified for Applications and perhaps also support if the author is responsive.

MR: Yes to Accessibility and Documentation. No to Support (the CRAN page is mirrored in GitHub, so they you use that to show support in the future). Maybe to Application (the only missing piece is populating the Application tab in GSR, we ask them to do it first and go back and do it ourselves if they don't answer?).",
3/19/2008,HAPSIMU,4,0.25983271,X,HAPSIMU has  only a few citations and only one of them appear to have used HAPSIMU. ,HAPSIMU,Yes,"HAPSIMU was published in peer-reviewed journal, BMC Bioinformatics.
The publication described the simulation method and applications clearly.
",No,"No example publication using HAPSIMU has been provided in the “Applications” tab of the GSR entry of the simulator.
",No,"HAPSIMU is not used and cited by at least 5 external users in the past 5 years.
",NO,"HAPSIMU is an old package. There are just a few of citations of it, and it is lack of information of license and simple application. I suggest that we can contact the authors to see if they are willing to add these informations and provide the source code.","HAPSIMU has not bee used in the community and has not been maintained for quite a while. We could certify it for documentation since its documentation is rather complete.

LM - I would give it documentation.  No to accessibility (no license info, no source code availability; limited webpage); no to applications, no to support.  The thing to discuss is that the license info and contact info can be found in the publication.  but doesn't really change the decision.

HSC -  I download the software and run an example on my PC.  It did not work!
The program seems to have some bugs.    A window popped up saying:
""Debug Assertion Failed! 
...
Expression: str != NULL 
...
(Press retry to debug..)""

and then it stop working.

Since it is not maintained, should we take it off GSR?

",
1/1/2009,IBDsim,14,0.958544363,Review,IBDsim is decently used in the community as shown by the number of citations. The author should add applications to the tab.,IBDsim,Yes,"IBDsim was published in peer-reviewed journal, Mol Ecol Resour.
The publication described the simulation method and applications clearly.
",No,"No example publication using IBDsim has been provided in the “Applications” tab of the GSR entry of the simulator.
",No,The pubmed center lists 25 citations for IBDsim so it is likely that IDBsim is used by the community.,NO,"Although it is lack of the evidences of response to user inquiries, IBDsim is a well-maintained package and could be certified for accessibility, documentation, applications (if citations are added).","MR: Yes to Accessibility and Documentation. No to Support. Maybe to Application (the only missing piece is populating the Application tab in GSR, he actually lists 5 in his webpage - we ask him to do it first and go back and copy those 5 to the Application tab ourselves if he doesn't do it?).",
5/25/2015,IgSimulator,18,2.192923899,Review,IgSimulator was not well cited.,IgSimulator,Yes,IgSimulator was published,No,No application is listed under GSR for IgSimulator,No,IgSimulator was not well cited,NO,"Accessibility: no, on github, no license
Documentation: Yes, very simple online documentation but has a manual.html that is downloadable.
Application: No. 
Support: No. ticket never replied
",,
8/1/2009,Indelible,183,13.04844696,Review,"Indelible has been cited more than 100 times and have been used actively, but there is no applications registered at GSR.

LM - I think we give them a chance to address this one.",Indelible,Yes,"Indelible was published in peer-reviewed journal, Mol Biol Evol.
The publication described the simulation method and applications clearly.
",No,"No example publication using Indelible has been provided in the “Applications” tab of the GSR entry of the simulator.
",Yes,"Indelible is used and cited by at least 5 external users in the past 5 years.
",NO,"Although it is lack of the evidences of response to user inquiries and support for users can be found, Indelible is a well-maintained package and has the potential to be fully certified if the authors respond to our request to add sample applications.
","Bo: Indelible is accessible, although require registration, is well documented, widely used (no GSR entry), and has a ticket tracker (no history). Need to discuss how to assign certificates.


HSC:  
         Accessibility: Yes
         Documentation: Yes
         Application: Need to add example application in GSR entry
         Support:  Cannot tell if there is any response.

LM - I agree with HSC.  Yes to Acc and Doc.
           ",
3/1/2007,indel-Seq-Gen,19,1.155255705,Review,"indel-Seq-Gen has been cited 14 times, once since 2015. ",indel-Seq-Gen,Yes,"indel-Seq-Gen was published in peer-reviewed journal, Mol Biol Evol.
The publication described the simulation method and applications clearly.
",No,"No example publication using indel-Seq-Gen has been provided in the “Applications” tab of the GSR entry of the simulator.
",Yes,"indel-Seq-Gen is used and cited least 5 external users in the past 5 years.
",NO,"indel-Seq-Gen has a ten year old package that is still accessible and well documented, but it is not actively used or supported.","BP: Yes for accessibility and documentation, no for application and support. The package was still used once for application in 2019, showing the value of ""old"" software though. 

MR: Yes to Accessibility and Documentation; No to Application and Support.

HSC:  Accessibility: Yes
           Documentation: Yes
           Application:  No
           Support: No",
5/17/2017,InSilicoSeq,50,8.029036516,Review,Lacks applications for InSilicoSeq listed on GSR>,InSilicoSeq,Yes,InSilicoSeq has been published.,No,Applications of InSilicoSeq are not listed.,Yes,InSilicoSeq has been cited more than 23 times and could be certified for applicaitons.,NO,"InSilicoSeq is relatively new, well maintained. It could be fully certified if the author could add applications to GSR>","Accessibility: yes
Documentation: yes
Applications: usual no
Support: yes although the author did not respond to our request.

HSC-   No to Applications and Yes to all others

MR (4/15/2021): Yes to Accessibility; Yes to Documentation (although some concrete examples could be added); Yes to Application if the citations are added to GSR; Yes to Support.",
10/18/2007,invertFREGENE,9,0.569126819,X,"invertFREGENE has been cited 7 times according to PMC, so it is possible for it to be certified if the authors can update the applications page.",invertFREGENE,Yes,"invertFREGENE was published in peer-reviewed journal, Bioinformatics.
The publication described the simulation method and applications clearly.
",No,"No example publication using invertFREGENE has been provided in the “Applications” tab of the GSR entry of the simulator.
",Yes,"invertFREGENE is not used and cited by 5 external users in the past 5 years.
",NO,"invertFREGENE was written by the same author of FREGENE. We have evaluated FREGENE and sent its author an email, but got no response. I suspect that this software is also abandoned but we can certify it for accessibility and documentation since it is accessible and has decent documentation.","HSC:  Accessibility and Documentation:  YES
           Application: No
           Support: No

LM:  Accessibility and Documentation: Yes; No to Application and Support.  This is an older package.  I had some question about accessibility since you need to download the package and unzip it before you can find the license information.
",
2/4/2022,J-SPACE,1,0.664845173,New,There are no citations and no applications for J-SPACE,J-SPACE,Yes,J-SPACE is published in a peer reviewed journal ,No,No applications have been listed for J-SPACE,No,There are no citations and no applications for J-SPACE,NO,"accessibility: ok
documentation: ok
application: no; no citations or applications
support: ok; no issues have yet been raised by the users of J-SPACE, but last commit was in 2022 ","Agreed.

MR: Yes to all but App (too new)",
1/22/2007,kernalPop,15,0.906306903,X,,kernalPop,Yes,"kernalPop was published in peer-reviewed journal, Molecular Ecology Notes.
The publication described the simulation method and applications clearly.
",No,"No example publication using kernalPop has been provided in the “Applications” tab of the GSR entry of the simulator.
",Yes,"kernalPop is used and cited by at least 5 external users in the past 5 years.
",NO,"kernalPop is a well-maintained package and has the potential to be fully certified if the authors respond to our request to add sample applications.
",kernelPop is no longer available and cannot be certified. This is shown at https://cran.r-project.org/web/packages/kernelPop/index.html and is confirmed by trying to install it from R.,
4/18/2016,LongISLND,9,1.231721035,Review,LongISLND has not enough applications yet.,LongISLND,Yes,LongISLND has been published in peer-reviewed journals.,No,No application is listed under GSR for LongISLND,Yes,"LongISLND has been cited 7 times, not sure how many are applications",NO,LongISLND is a decent package.,"Accessibility: yes
Documentation: yes
Application: No
Support : yes

HSC-

Accessibility: yes
Documentation: yes
Application: No
Support : No or Maybe

MR: Yes to Accessibility; Yes to Documentation; No to Application (not enough citations); Yes to Support.",
2/27/2021,LSH-GAN,0,0,New,LSH-GAN does not have any citation,LSH-GAN,Yes,LSH-GAN has been published in peer-review journal,No,No application is listed under the applications tab of LSH-GAN,No,LSH-GAN has not been cited,NO,LSH-GAN is not well documented and maintained.,"Accessibility: no license
Documentation: not clear and long enough
Application: no citation
Support: yes (no ticket)

HSC- agree.  No to all

MR: No to Accessibility (no license); No to Documentation; No to Application; Yes to Support. ",
1/1/2011,Marlin,1,0.07933058,X,Marlin has not bee used (with only one citation),Marlin,Yes,"Marlin was published in peer-reviewed journal, Mol Ecol Resour.
The publication described the simulation method and applications clearly.
",No,"No example publication using Marlin has been provided in the “Applications” tab of the GSR entry of the simulator.
",No,"Marlin is not used and cited by at least 5 external users in the past 5 years.
",NO,"Marlin is a decent program that is accessible and well documented, but it has not been used by others.","Marlin is accessible (although not hosted on github etc), well documented, but not used, and there is lack of evidence for support.

HSC-  
Accessibility:   Yes
Documentation: Yes
Application:  Only need to add to the GSR page
Support: No inquiries, so there are no responses.  Otherwise, it looked well maintained.  

MR: Yes to Accessibility and Documentation; No to Application (not enough citations even if were to be added to GSR) and Support (perhaps fixable).
",
6/1/2010,Mason,212,16.07061267,Review,There is no evidence of applications for Mason.,Mason,Yes,"Mason was published in a Technical Report FU Berlin (which might not be peer-reviewed). The publication described the simulation method and applications clearly.
",No,"No example publication using Mason has been provided in the “Applications” tab of the GSR entry of the simulator.
",No,Mason is published as a tech report and it is not sure how many time it has been cited. The authors might be able to list some citations.,NO,"The authors of Mason are being supportive and Mason is a well-maintained package and has the potential to be fully certified if the authors respond to our request to add sample applications.
","HSC-  
Accessibility:   Yes
Documentation: Yes
Application:  This software itself is a technical report, not a peer-reviewed journal.  Cannot find any application that uses this software. 
Support:  Seemed to be well maintained. Last update was in 2018.   

MR: Yes to Accessibility, Documentation and Support; No to Application.",
10/1/2018,MaSS-Simulator,6,1.236589497,Review,MaSS-Simulator has insufficient recent applications,MaSS-Simulator,Yes,MaSS-Simulator is published in a peer review journal,No,No applications have been listed for MaSS-Simulator,No,"4 citations with 2 likely applications for MaSS-Simulator. One application from 2021, one from 2019",NO,"accessibility: ok
documentation: ok
application: no, only 2 applications in 2019 and 2021
support: ok, last update in 2020","Agree. BP

HSC- agree

MR - agree",
12/19/2008,mbs,28,1.91242515,Review,"MR: No because the GSR application tab is not populated (fixable)
LM:  Not enough pubs?",mbs,Yes,"mbs was published in peer-reviewed journal, BMC Bioinformatics.
The publication described the simulation method and applications clearly.
",No,"No example publication using mbs has been provided in the “Applications” tab of the GSR entry of the simulator.
",Yes,"mbs is used and cited by at least 5 external users in the past 5 years.
",NO,"Although it is lack of the evidences of response to user inquiries and support for users can't be found, mbs is a well-maintained package and has the potential to be fully certified if the authors respond to our request to add sample applications and information of license.
","MR: No to accessibility (license missing); Yes to Documentation (although the file is  in the download folder); Maybe to Application (if Bo is willing to add the 5 papers to the GSR App tab); No to Support (no evidence of support, nor instruction on how to get support). 
BO: I added all recent applications but there are 5 in the past six years, three in the past five years, so it is not qualify anyway.
LM:  I would say Yes to documentation and No to the rest.  Question about them saying ""License = No""  - to discuss.",
1/1/2007,Mendel's Accountant,0,NA,X,"MR: No because lacks citations.
BO: It is not in PMC and I cannot check citation. Maybe authors know.
LM:  No.",Mendel's Accountant,Yes,"Mendel's Accountant was published in peer-reviewed journal, Scalable Computing: Practice and Experience.
The publication described the simulation method and applications clearly.
",No,"No example publication using Mendel's Accountant has been provided in the “Applications” tab of the GSR entry of the simulator.
",No,"Mendel's Accountant is not used and cited by at least 5 external users in the past 5 years.
",NO,"Although it is lack of the evidences of response to user inquiries and support for users can't be found, Mendel's Accountant is a well-maintained package and has the potential to be fully certified if the authors respond to our request to add sample applications and more citations.
","MR: Yes to Accessibility and Documentation. No to Applications (there aren't enough citations on PubMed); No to Support (no evidence). 
BO: Agree but perhaps no also to accessibility because I cannot find license info.
LM:  Yes to Accessibility and Documentation.  No to applications and support.  I did check the facebook page and there's nothing there.",
11/22/2019,metaSPARSim,9,2.426144756,Review,"MR: No because lacks citations.
Bo: There is only one citation from PMC. 
HSC:  The paper is cited by 8 

 https://scholar.google.com/scholar_lookup?hl=en&volume=15&publication_year=2015&pages=1153-1162&journal=Molecular+Ecology+Resources&author=M.+Andrello&author=S.+Manel&title=MetaPopGen%3A+an+R+package+to+simulate+population+genetics+in+large+size+metapopulations",MetaPopGen,Yes,"MetaPopGen was published in peer-reviewed journal, Mol Ecol Resour.
The publication described the simulation method and applications clearly.
",No,"No example publication using MetaPopGen has been provided in the “Applications” tab of the GSR entry of the simulator.
",No,"MetaPopGen is not used and cited by at least 5 external users in the past 5 years.
",NO,"There is a lack of license and application, but documentation is decent for MetaPopGen. I would suggest documentation and support.
","MR: Yes to Accessibility and Documentation; No to Applications (it wasn't cited enough); Maybe to Support (there is a github issue tracker but nobody asked questions).

HSC:  Accessibility: Yes
          Documentation: Yes
          Application:  Yes
          Support: Maybe
",
11/16/2020,MichiGAN,5,1.836016097,Review,MimicrEE2 has no application listed under GSR.,MimicrEE2,Yes,MimicrEE2 is published in peer-review journals,No,MimicrEE2 has no application listed under GSR.,Yes,MimicrEE2 has been cited 17 times.,NO,MimicrEE2 is accessible and has very good documentation. There is no ticket for MimicrEE2.,"Accessibility: yes
Documentation: yes (very good)
Application: 17 citations (no -> yes by adding citations)
Support: yes (no ticket)

HSC-  Not sure about ""Application"".  Yes to all other

MR: Yes to Accessibility; Yes to Documentation; Maybe to Application; Yes to Support. ",
2/3/2019,Minnow,8,1.77399757,Review,Minnow does not have enough citations.,Minnow,No,Minnow has been published in a peer-review journal,No,No applications are listed under Minnow's GSR entry,No,Minnow does not have enough citations.,NO,"Minnow is a well-maintained new GitHub package. 

Accessibility: no, lack license
Documentation: yes
Application: no, needs adding citation to GSR
Support: yes","Bo: I agree with the initial review.

HSC: agree

MR: agree w mtg discussion",
3/2/2007,mlcoalsim,20,1.216261246,Review,"MR: Maybe (if we populate the GSR App tab).
BO: 20 citations, let us check if the authors can update it.
",mlcoalsim,Yes,"mlcoalsim was published in peer-reviewed journal, Evol Bioinform Online.
The publication described the simulation method and applications clearly.
",No,"No example publication using mlcoalsim has been provided in the “Applications” tab of the GSR entry of the simulator.
",Yes,"mlcoalsim is used and cited by at least 5 external users in the past 5 years.
",NO,"BO: mlcoasim seems to be left unmaintained but it has good documentation and its source code is still available. Yes to accessibility and documentation, no to application and support.
","MR: Yes to Accessibility and Documentation; Maybe to Applications (there are citations we could add to the GSR App Tab); No to Support (the google issue tracker isn't working).  Question: isn't the Google code archive sun-setting?

HSC:   Accessibility: Yes
           Documentation: Yes
           Application: Maybe
           Support: No",
9/30/2021,MOSim,0,NA,New,MOSim is too new to be cited.,MOSim,No,MOSim is currently published on bioRxiv,No,No citations are listed under MOSim,No,MOSim is too new to be cited (not published now),NO,New bioconductor package,"Accessibility: yes
Documentation: yes
Application: too new
Support: no 

HSC-
Accessibility:  Yes
Documentation:  Yes
Application:  No
Support: Maybe -- there is a link to support guide for R Bioconductor

MR: Yes to Accessibility; Yes to Documentation; No to Application (too new); No to Support (question in issue tracker without response).",
6/11/2008,msnsam,70,4.616079494,Review,There is no references for msnsam,msnsam,No,msnsam was not published separately,No,No applications of msnsam was listed under GSR,Yes,msnsam has 60+ citations but very few could have used this tool,NO,Old and rarely used extension for ms,"Accessibility: no license
Documentation: ok
Application: no
Support: no

HSC: 
Accessibility: License
Documentation: Yes
Application: no
Support: Yes -- https://github.com/rossibarra/msnsam/issues

MR: No to Accessibility (lacks license); Yes to Documentation; No to Application; No to support (no answers to issue).
",
